Last Name,First Name,The impact of the Covid-19 pandemic on working and shopping habits has not been fully priced into current private valuations of downtown commercial properties in major cities.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,A continued fall in commercial real estate valuations would trigger another round of banking panic.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Kashyap,Anil,Agree,7,"Until the current owners face the inevitable problems in refinancing the properties, they will not fully accept the coming price concessions. A credit crunch is coming and that will lead to further price declines.  ",Uncertain,7,"It could, but will depend on how much capital is raised, and whether the weakest banks find merger partners before hand.  The largest banks are not going to run into problems because of this.  "
Koijen,Ralph,Did Not Answer,,,Did Not Answer,,
Kuhnen,Camelia,Disagree,7,,Disagree,7,
Lo,Andrew,Did Not Answer,,,Did Not Answer,,
Lowry,Michelle,Agree,6,"Lower demand (due to remote work), higher maintenance costs, and rising interest rates contribute to lower valuations. While many major banks are expected to lower their valuations in the 2nd quarter, other institutions will likely wait until the loans are refinanced.",Agree,6,"According to a recent Goldman Sachs report, small and medium sized banks account for 80% of commercial real estate lending. These are the banks that are subject to less regulatory scrutiny, and may be slower to adjust valuations."
Ludvigson,Sydney,Uncertain,10,,Uncertain,10,
Maggiori,Matteo,Uncertain,1,,Uncertain,1,
Matvos,Gregor,Did Not Answer,,,Did Not Answer,,
Moskowitz,Tobias,Uncertain,5,"It’s hard to know if “fully priced” but certainly values, lease rates, and cap rates have changed to reflect the pandemic’s effects. ",Agree,6,Many banks seem over exposed to CRE. 
Nagel,Stefan,Strongly Agree,7,"Private valuations are clearly lagging the available public valuation indicators (e.g., REITs) ",Uncertain,6,"It seems likely that a lot of problems with CRE loans are still hidden in many banks' balance sheets and hold-to-maturity accounting, but whether a panic might arise (given the current level of official support for the banking system) is uncertain. "
Parker,Jonathan,Disagree,6,"Absent a really good reason, market prices are good reflections of true values, as are the values that the owners place on their assets. At banks that are currently under duress, current valuations made for bank regulators may not have losses completely priced in.",Agree,8,"Many banks, particularly large regional banks are reliant on profits from a stable depository base at low interest rates to cover recent losses on hold-to-maturity assets. If credit losses mount, uninsured depositors will withdraw, raising funding costs and endangering solvency. "
Parlour,Christine,Agree,5,,Uncertain,4,
Philippon,Thomas,Uncertain,1,,Disagree,5,
Puri,Manju,Uncertain,5,,Agree,5,
Roberts,Michael,No Opinion,,,Uncertain,7,
Sapienza,Paola,Agree,5,"My answer is based on the following research https://www.nber.org/papers/w30526
",Uncertain,5,
Seru,Amit,Uncertain,9,,Uncertain,10,Depends on where we end up with proposed regulations and capital raising by regional banks.
Stambaugh,Robert,No Opinion,,,Uncertain,1,
Starks,Laura,Did Not Answer,,,Did Not Answer,,
Stein,Jeremy,Agree,7,,Uncertain,6,
Stroebel,Johannes,Uncertain,5,,Uncertain,5,"It certainly COULD trigger such a panic, since regional banks (and others) have sizable CRE exposures. But whether it WOULD actually trigger it depends on a range of factors, including the performance of the remaining loan book as well as the policy response. "
Sufi,Amir,Did Not Answer,,,Did Not Answer,,
Titman,Sheridan,Agree,9,The stronger reaction in the REIT market suggests that the reported reaction in the property market may not fully capture the response. ,Uncertain,7,The banks are potentially affected depending on their exposures.  I have no opinion about whether this will trigger bank runs.
Van Nieuwerburgh,Stijn,Strongly Agree,10,"Transaction volumes of distressed urban office & retail have been low since the onset of the pandemic and selected, i.e., only the best properties have traded. Expected distressed office sales to ramp up from their sporadic levels in 2023.H1. ",Agree,8,"Many, esp. regional and smaller banks are over-exposed to CRE loans. Many of these loans will come due in 2023.H2 and 2024 and will fail to refinance. Banks have not provisioned sufficiently for future fire sales of these CRE assets."
Whited,Toni,Agree,6,,Agree,7,
