Last Name,First Name,"Although the reported volatility of asset values in private markets (private equity, buyouts, and venture capital) is lower than that of comparable assets in public markets, their true volatility is broadly similar or greater.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Since the global financial crisis, the realized returns on private equities have measurably exceeded the returns on public equities.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Sapienza,Paola,Uncertain,5,"Hotly debated topic, mostly due to the opacity of data (and who provides them). Both results are found in the literature; even KKR in a recent paper has argued that volatility is underestimated in PE. The question is by how much? ",Agree,4,"Weakly agree, the answer depends on which data are used, what vintage and it is certainly too early to determine the past two years PME for PE, given that many recent vintages will not come to fruition for a while. The academic literature has serious data issues to nail this"
Seru,Amit,Strongly Agree,7,"With the kinds of investments undertaken, it’s a given ",Uncertain,2,
Stambaugh,Robert,No Opinion,,,No Opinion,,
Starks,Laura,Did Not Answer,,,Did Not Answer,,
Stein,Jeremy,Strongly Agree,9,,Uncertain,5,
Stroebel,Johannes,Agree,5,"More relevant than the volatility are perhaps the risk exposures, which seem substantial for most PE funds. ",Disagree,4,"Again, accounting for risk exposures, they don't seem to do all that well: ""We find that the average PE fund creates little value for its LPs after accounting for a broader spectrum of risk."" (Gupta and van Nieuwerburgh, JF 2021)"
Sufi,Amir,Did Not Answer,,,Did Not Answer,,
Titman,Sheridan,Agree,8,,No Opinion,,It is very difficult to precisely measure the risks and returns of private equity investments.  
Van Nieuwerburgh,Stijn,Strongly Agree,8,"Lower diversification, higher risk activities (smaller, earlier-stage, growth companies, riskier real estate investments) result in more underlying risk than traditional public equity investments which involve (diversified baskets of) larger, more stable firms.",Disagree,8,"Raw returns have been similar, but risk-adjusted returns have been lower for private investments. They key is to properly adjust for (the many different sources of) risk. "
Werner,Ingrid,No Opinion,,,No Opinion,,
Whited,Toni,Agree,7,,Uncertain,2,
